Sample name	title	source name	organism	idat file 1	idat file 2	subexperiment	CORIELL_ID	cell_line	donor_age	donor_sex	culture_oxygen	culture_agent	culture_pctFBS	expression_vector	subculture	population_doublings	days_in_culture	batch_date 	growth protocol	treatment protocol	molecule	label	platform
202253620109_R08C01	AVSMC1_4	Iliac vein	Homo sapiens	202253620109_R08C01_Grn.idat	202253620109_R08C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	34.30861599	20	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620111_R03C01	AVSMC1_5	Iliac vein	Homo sapiens	202253620111_R03C01_Grn.idat	202253620111_R03C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	b	35.8333837	26	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620111_R02C01	AVSMC1_6	Iliac vein	Homo sapiens	202253620111_R02C01_Grn.idat	202253620111_R02C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	36.15912023	26	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620111_R05C01	AVSMC1_7	Iliac vein	Homo sapiens	202253620111_R05C01_Grn.idat	202253620111_R05C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	b	38.30409782	33	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620111_R04C01	AVSMC1_8	Iliac vein	Homo sapiens	202253620111_R04C01_Grn.idat	202253620111_R04C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	39.20467033	33	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620111_R07C01	AVSMC1_9	Iliac vein	Homo sapiens	202253620111_R07C01_Grn.idat	202253620111_R07C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	b	42.84735225	42	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620111_R06C01	AVSMC1_10	Iliac vein	Homo sapiens	202253620111_R06C01_Grn.idat	202253620111_R06C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	42.85644798	42	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620111_R08C01	AVSMC1_11	Iliac vein	Homo sapiens	202253620111_R08C01_Grn.idat	202253620111_R08C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	45.8635886	51	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202835130031_R01C01	AVSMC1_12	Iliac vein	Homo sapiens	202835130031_R01C01_Grn.idat	202835130031_R01C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	b	45.89103994	51	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202835130031_R03C01	AVSMC1_13	Iliac vein	Homo sapiens	202835130031_R03C01_Grn.idat	202835130031_R03C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	b	50.2438851	63	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202835130031_R02C01	AVSMC1_14	Iliac vein	Homo sapiens	202835130031_R02C01_Grn.idat	202835130031_R02C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	50.36800408	63	12.26.18	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203038250119_R06C01	AVSMC1_15	Iliac vein	Homo sapiens	203038250119_R06C01_Grn.idat	203038250119_R06C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	53.00393483	73	05.08.19	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203038250119_R07C01	AVSMC1_16	Iliac vein	Homo sapiens	203038250119_R07C01_Grn.idat	203038250119_R07C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	b	53.2887872	73	05.08.19	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203038250119_R08C01	AVSMC1_17	Iliac vein	Homo sapiens	203038250119_R08C01_Grn.idat	203038250119_R08C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	56.82932853	85	05.08.19	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203020780110_R01C01	AVSMC1_18	Iliac vein	Homo sapiens	203020780110_R01C01_Grn.idat	203020780110_R01C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	b	57.31811072	88	05.08.19	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203020780110_R02C01	AVSMC1_19	Iliac vein	Homo sapiens	203020780110_R02C01_Grn.idat	203020780110_R02C01_Red.idat	Baseline profiling	AG11546	Adult_vascular_smooth_muscle_cell_1	19 years	male	Ambient	NA	Full	NA	a	60.46863077	111	05.08.19	Vascular smooth muscle cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 10% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620093_R05C01	ASF1_1	Skin, arm	Homo sapiens	202253620093_R05C01_Grn.idat	202253620093_R05C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	b	11.65526068	27	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620093_R06C01	ASF1_2	Skin, arm	Homo sapiens	202253620093_R06C01_Grn.idat	202253620093_R06C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	c	11.66072917	27	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620093_R07C01	ASF1_3	Skin, arm	Homo sapiens	202253620093_R07C01_Grn.idat	202253620093_R07C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	b	14.56690652	34	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620093_R08C01	ASF1_4	Skin, arm	Homo sapiens	202253620093_R08C01_Grn.idat	202253620093_R08C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	c	14.84078514	34	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620097_R01C01	ASF1_5	Skin, arm	Homo sapiens	202253620097_R01C01_Grn.idat	202253620097_R01C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	b	18.50605154	43	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620097_R02C01	ASF1_6	Skin, arm	Homo sapiens	202253620097_R02C01_Grn.idat	202253620097_R02C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	c	19.14968017	43	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620097_R04C01	ASF1_7	Skin, arm	Homo sapiens	202253620097_R04C01_Grn.idat	202253620097_R04C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	c	21.36307631	50	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620097_R03C01	ASF1_8	Skin, arm	Homo sapiens	202253620097_R03C01_Grn.idat	202253620097_R03C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	b	22.04517226	50	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620097_R06C01	ASF1_9	Skin, arm	Homo sapiens	202253620097_R06C01_Grn.idat	202253620097_R06C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	c	24.69504201	57	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620097_R05C01	ASF1_10	Skin, arm	Homo sapiens	202253620097_R05C01_Grn.idat	202253620097_R05C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	b	24.93582905	57	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620097_R08C01	ASF1_11	Skin, arm	Homo sapiens	202253620097_R08C01_Grn.idat	202253620097_R08C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	c	27.76186476	66	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620097_R07C01	ASF1_12	Skin, arm	Homo sapiens	202253620097_R07C01_Grn.idat	202253620097_R07C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	b	27.85098123	66	12.26.18	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203030040048_R01C01	ASF1_13	Skin, arm	Homo sapiens	203030040048_R01C01_Grn.idat	203030040048_R01C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	c	31.04692817	83	05.08.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203026840107_R08C01	ASF1_14	Skin, arm	Homo sapiens	203026840107_R08C01_Grn.idat	203026840107_R08C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	b	31.80879352	83	05.08.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203030040048_R03C01	ASF1_15	Skin, arm	Homo sapiens	203030040048_R03C01_Grn.idat	203030040048_R03C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	c	32.93382985	102	05.08.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
203030040048_R02C01	ASF1_16	Skin, arm	Homo sapiens	203030040048_R02C01_Grn.idat	203030040048_R02C01_Red.idat	Baseline profiling	AG16146	Adult_skin_fibroblast_1	31 years	male	Ambient	NA	Full	NA	b	34.19191008	102	05.08.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts with 10% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
204088030006_R06C01	NFK1_1	Foreskin	Homo sapiens	204088030006_R06C01_Grn.idat	204088030006_R06C01_Red.idat	Baseline profiling	AG21837	Neonatal_foreskin_keratinocyte_1	0 years	male	Ambient	NA	Full	NA	NA	6.965381832	5	02.20.20	Keratinocytes were maintained in serum-free human epidermal keratinocyte media on collagen IV-coated dishes. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
204088030121_R01C01	NFK1_2	Foreskin	Homo sapiens	204088030121_R01C01_Grn.idat	204088030121_R01C01_Red.idat	Baseline profiling	AG21837	Neonatal_foreskin_keratinocyte_1	0 years	male	Ambient	NA	Full	NA	c	9.93264796	9	02.20.20	Keratinocytes were maintained in serum-free human epidermal keratinocyte media on collagen IV-coated dishes. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
204088030006_R08C01	NFK1_3	Foreskin	Homo sapiens	204088030006_R08C01_Grn.idat	204088030006_R08C01_Red.idat	Baseline profiling	AG21837	Neonatal_foreskin_keratinocyte_1	0 years	male	Ambient	NA	Full	NA	b	9.94026879	9	02.20.20	Keratinocytes were maintained in serum-free human epidermal keratinocyte media on collagen IV-coated dishes. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
204088030006_R07C01	NFK1_4	Foreskin	Homo sapiens	204088030006_R07C01_Grn.idat	204088030006_R07C01_Red.idat	Baseline profiling	AG21837	Neonatal_foreskin_keratinocyte_1	0 years	male	Ambient	NA	Full	NA	a	10.54226831	9	02.20.20	Keratinocytes were maintained in serum-free human epidermal keratinocyte media on collagen IV-coated dishes. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
204088030121_R04C01	NFK1_5	Foreskin	Homo sapiens	204088030121_R04C01_Grn.idat	204088030121_R04C01_Red.idat	Baseline profiling	AG21837	Neonatal_foreskin_keratinocyte_1	0 years	male	Ambient	NA	Full	NA	c	15.45156472	14	02.20.20	Keratinocytes were maintained in serum-free human epidermal keratinocyte media on collagen IV-coated dishes. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
204088030121_R02C01	NFK1_6	Foreskin	Homo sapiens	204088030121_R02C01_Grn.idat	204088030121_R02C01_Red.idat	Baseline profiling	AG21837	Neonatal_foreskin_keratinocyte_1	0 years	male	Ambient	NA	Full	NA	a	15.47057348	14	02.20.20	Keratinocytes were maintained in serum-free human epidermal keratinocyte media on collagen IV-coated dishes. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
204088030121_R03C01	NFK1_7	Foreskin	Homo sapiens	204088030121_R03C01_Grn.idat	204088030121_R03C01_Red.idat	Baseline profiling	AG21837	Neonatal_foreskin_keratinocyte_1	0 years	male	Ambient	NA	Full	NA	b	15.51879683	14	02.20.20	Keratinocytes were maintained in serum-free human epidermal keratinocyte media on collagen IV-coated dishes. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
